scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
chess,train,seq-01,chess/seq-01/frame-000303.color.png,0.776683,-0.878164,0.524883,0.8060189,-0.3238914,-0.4139432,-0.2721746
chess,train,seq-06,chess/seq-06/frame-000818.color.png,0.4193959,-0.6260292,-0.842088,0.9524842,-0.0854689,-0.1492847,-0.2513623
chess,train,seq-02,chess/seq-02/frame-000768.color.png,0.5430229999999999,-0.5620913000000001,0.6648354000000001,0.894392,-0.2764888,-0.3270262,-0.1291153
chess,train,seq-06,chess/seq-06/frame-000704.color.png,0.0295691,-0.8324868000000001,0.0707861,0.9145326,-0.3946116,-0.0852301,0.025448
chess,train,seq-02,chess/seq-02/frame-000278.color.png,-0.1160976999999999,-0.8809315999999999,0.1446009,0.9897885,-0.0395803,0.1318027,0.0371519
chess,train,seq-02,chess/seq-02/frame-000555.color.png,0.5927818,-0.603011,0.0160809,0.9065554,-0.229219,-0.3385259,-0.1049582
chess,train,seq-04,chess/seq-04/frame-000288.color.png,0.7411158,-0.6229779999999999,0.9676627,0.9348154,-0.2657539,-0.2335154,0.0310752
chess,train,seq-01,chess/seq-01/frame-000597.color.png,0.4448912,-0.8604356,0.6287093,0.9574133,-0.1576461,-0.2302817,-0.0740121
chess,train,seq-04,chess/seq-04/frame-000684.color.png,0.4777068,-0.7593046999999999,-0.768095,0.9441351999999998,-0.0991104,-0.2880272,-0.1258022
chess,train,seq-01,chess/seq-01/frame-000995.color.png,-0.32019,-0.6239198,0.4007438,0.9454695,-0.2612171,0.1872399,0.0528618
chess,train,seq-04,chess/seq-04/frame-000458.color.png,0.3603131,-0.8744045,0.5398735,0.681103,-0.2508458,-0.4924316,-0.4802981
chess,train,seq-06,chess/seq-06/frame-000356.color.png,1.0992081,-0.1505513,1.1199718,0.9149727,-0.0117668,-0.4025529000000001,-0.0252511
chess,train,seq-06,chess/seq-06/frame-000725.color.png,0.0656885,-0.8362923000000001,-0.1445236,0.9442099,-0.324206,-0.029691,0.0497653
chess,train,seq-04,chess/seq-04/frame-000620.color.png,0.0540062,-0.7426616,-0.6031042,0.981082,-0.1612915,-0.0720981,-0.0791516
chess,train,seq-04,chess/seq-04/frame-000051.color.png,-0.1274689,-0.7857119,-0.5167056,0.9704147,-0.146704,0.0001346,-0.1917637
chess,train,seq-01,chess/seq-01/frame-000608.color.png,0.3464499,-0.8559962999999999,0.6251565,0.964325,-0.1752315,-0.181821,-0.0794505
chess,train,seq-04,chess/seq-04/frame-000382.color.png,0.1416155,-0.6615922,1.1601655,0.9364632,-0.3487073,0.0331408,0.0184835
chess,train,seq-06,chess/seq-06/frame-000491.color.png,1.0190983,-0.4958941,0.6693354,0.9388395,-0.2539641,-0.2313656,-0.0235082
chess,train,seq-02,chess/seq-02/frame-000281.color.png,-0.0850748,-0.8494381,0.1514902,0.9886826,-0.0490453,0.1364165,0.0386243
chess,train,seq-06,chess/seq-06/frame-000561.color.png,0.7589344,-0.7427551,0.3566244,0.9278408,-0.3512598,-0.1218143,0.0298209
chess,train,seq-06,chess/seq-06/frame-000467.color.png,1.0998558,-0.3383083,0.8721818000000001,0.9257406,-0.1628422,-0.3390431,-0.0391978
chess,train,seq-04,chess/seq-04/frame-000196.color.png,1.3257341,-0.6801043000000001,0.7459880999999999,0.9407644,-0.1945053,-0.2658105999999999,0.0804663
chess,train,seq-02,chess/seq-02/frame-000547.color.png,0.6782476,-0.4947077,0.0469996,0.9173864,-0.2317009,-0.3099071,-0.0931365
chess,train,seq-04,chess/seq-04/frame-000931.color.png,1.5347263,-0.9203675,0.6920495,0.8256305,-0.2309932,-0.5018015,-0.1147674
chess,train,seq-04,chess/seq-04/frame-000432.color.png,0.0773625,-0.8442881999999999,0.6620663,0.8664805,-0.3024776,-0.2222079,-0.3291543
chess,train,seq-04,chess/seq-04/frame-000400.color.png,0.1471391,-0.7696861999999999,1.0613612,0.9108223,-0.4042252,-0.0371463,-0.0749996
chess,train,seq-02,chess/seq-02/frame-000823.color.png,0.40103,-0.5074857,0.7779609000000001,0.8270558000000001,-0.2708687,-0.4242589,-0.2502264
chess,train,seq-06,chess/seq-06/frame-000512.color.png,0.9709113,-0.5978275,0.5050574000000001,0.9349771,-0.276126,-0.2225214,-0.0075164
chess,train,seq-06,chess/seq-06/frame-000151.color.png,-0.2471545,-0.7703549,0.6628119,0.9716175,-0.0925151,-0.2138506,-0.0408457
chess,train,seq-04,chess/seq-04/frame-000334.color.png,0.1802595,-0.6462905,0.927605,0.9602124,-0.2642223,-0.0816723,0.0388374
chess,train,seq-02,chess/seq-02/frame-000120.color.png,-0.401258,-0.8739546999999999,0.0769718,0.9934542,-0.0808664,0.0667295,0.0453488
chess,train,seq-04,chess/seq-04/frame-000460.color.png,0.3663903,-0.8753314,0.5347265999999999,0.6701828000000001,-0.2639657,-0.4933477,-0.4876322
chess,train,seq-06,chess/seq-06/frame-000850.color.png,0.7552165,-0.6128597,-0.785737,0.9670728,-0.1062388999999999,-0.2260939,0.0486327
chess,train,seq-02,chess/seq-02/frame-000803.color.png,0.4144108,-0.5172007000000001,0.7373198000000001,0.8513099000000001,-0.2834171,-0.394511,-0.1982605
chess,train,seq-02,chess/seq-02/frame-000709.color.png,0.6460668,-0.659667,0.1951648,0.9527107,-0.1838359,-0.236944,-0.0490327
chess,train,seq-06,chess/seq-06/frame-000756.color.png,0.1184468,-0.7646768,-0.4702035,0.9771539,-0.1631787999999999,-0.002683,0.1361462
chess,train,seq-06,chess/seq-06/frame-000143.color.png,-0.2336452,-0.7735889,0.5912835,0.9729635,-0.0841459,-0.2108617,-0.0424135
chess,train,seq-04,chess/seq-04/frame-000167.color.png,1.2161616000000002,-0.6908329000000001,0.6978738,0.8963996999999999,-0.1700594,-0.3671195,0.1810269
chess,train,seq-04,chess/seq-04/frame-000148.color.png,0.9080615,-0.8347434000000001,0.5760357,0.8926059999999999,-0.0682076,-0.3421935,-0.2854922
chess,train,seq-04,chess/seq-04/frame-000679.color.png,0.529981,-0.7595109999999999,-0.8816563000000001,0.9605686,-0.0873058999999999,-0.2358322,-0.1186121
chess,train,seq-01,chess/seq-01/frame-000718.color.png,-0.3738082,-0.8183694,0.8758493,0.9134854,-0.0733993999999999,0.3931083,0.0749851
chess,train,seq-01,chess/seq-01/frame-000215.color.png,0.2203408,-0.7948019000000001,0.4539945,0.9057733,-0.3999422,-0.092391,-0.1052848
chess,train,seq-02,chess/seq-02/frame-000167.color.png,-0.0445715,-0.6552074999999999,0.082336,0.9694203,-0.1171716,0.1903769,0.1012506
chess,train,seq-02,chess/seq-02/frame-000046.color.png,-0.5629963000000001,-0.4588824000000001,-0.033529,0.9760975,-0.1979286,0.0789956,0.042634
chess,train,seq-01,chess/seq-01/frame-000845.color.png,-0.361506,-0.7123311,1.2311083,0.8593066999999999,-0.2487282,0.445103,0.0401203
chess,train,seq-02,chess/seq-02/frame-000578.color.png,0.6813951,-0.9381953000000002,0.0903929,0.9605629,-0.1247528,-0.2484957,-0.0023364
chess,train,seq-06,chess/seq-06/frame-000702.color.png,0.0243093,-0.8285357,0.0879113,0.9143434,-0.3949544,-0.0867688,0.0214094
chess,train,seq-06,chess/seq-06/frame-000530.color.png,0.940721,-0.6189161,0.3968477,0.9259163,-0.3089376,-0.2172613,0.0058481
chess,train,seq-04,chess/seq-04/frame-000819.color.png,1.0575112,-0.9423898,0.7530471,0.8033720999999999,-0.0826256,-0.5541986,-0.2015693
chess,train,seq-01,chess/seq-01/frame-000227.color.png,0.2928525,-0.7952405,0.4493720000000001,0.8990309000000001,-0.3909426,-0.1495509,-0.128615
chess,train,seq-06,chess/seq-06/frame-000984.color.png,1.2891787,-0.6620778,0.5562524,0.8511882,-0.0356198,-0.5204358,-0.0579353
chess,train,seq-02,chess/seq-02/frame-000096.color.png,-0.5176688,-0.7083491,0.0295171,0.9873061,-0.1501752,-0.037217,0.0359028
chess,train,seq-01,chess/seq-01/frame-000612.color.png,0.3080949,-0.8541110000000001,0.6194497,0.967165,-0.176135,-0.1652437,-0.0791386
chess,train,seq-04,chess/seq-04/frame-000917.color.png,1.4583874,-0.9259775,0.6474163000000001,0.7886211999999999,-0.2507103,-0.4764932,-0.2969431
chess,train,seq-01,chess/seq-01/frame-000400.color.png,1.2365719,-1.1532396,-0.5767054,0.9662227,-0.111237,-0.1767319,-0.1510161
chess,train,seq-04,chess/seq-04/frame-000847.color.png,1.4681242,-0.8598568000000001,0.799024,0.7407623999999999,-0.1022083,-0.6381591999999999,-0.1832411
chess,train,seq-02,chess/seq-02/frame-000392.color.png,-0.1811418,-0.8955911,-0.5355193,0.9909068,-0.122564,0.0370047,0.0413814
chess,train,seq-06,chess/seq-06/frame-000502.color.png,0.9915379,-0.5659828,0.5875986,0.9369107,-0.2750692,-0.2154018,-0.0117232
chess,train,seq-02,chess/seq-02/frame-000707.color.png,0.6438456,-0.6710255,0.1613391,0.9507909,-0.1894936,-0.2411855,-0.0437992
chess,train,seq-06,chess/seq-06/frame-000267.color.png,1.5359466999999998,-0.6345814000000001,0.6490132,0.8720989,-0.072544,-0.4780018,-0.0754659999999999
chess,train,seq-02,chess/seq-02/frame-000133.color.png,-0.219314,-0.8881024,0.0408059,0.9808513,-0.0732328,0.1602291,0.0830317
chess,train,seq-06,chess/seq-06/frame-000331.color.png,1.2598616000000002,-0.2377897,1.0368202,0.9139562,-0.0137321,-0.4037017000000001,-0.0389936
chess,train,seq-02,chess/seq-02/frame-000306.color.png,-0.1078517,-0.5242829999999999,0.219178,0.9723832,-0.174312,0.1252356,0.0916643
chess,train,seq-02,chess/seq-02/frame-000715.color.png,0.6610674,-0.6433933000000001,0.271057,0.944756,-0.1864948,-0.2633142,-0.0576312
chess,train,seq-02,chess/seq-02/frame-000098.color.png,-0.5148867,-0.7341314,0.0353574,0.9881887,-0.1432989,-0.0419599,0.034466
chess,train,seq-04,chess/seq-04/frame-000480.color.png,0.4356018,-1.0489335,0.6280534000000001,0.7332187,-0.4082306,-0.3324479,-0.4303679
chess,train,seq-06,chess/seq-06/frame-000595.color.png,0.6115028,-0.8588232,0.3252890999999999,0.9375335,-0.3310535999999999,-0.097425,0.0440764
chess,train,seq-01,chess/seq-01/frame-000696.color.png,-0.302376,-0.8988775999999999,0.7698406999999999,0.9296632,-0.074441,0.3601973,0.0210422
chess,train,seq-06,chess/seq-06/frame-000183.color.png,-0.0930987,-0.7804406999999999,0.6462208,0.9522391,-0.1407923999999999,-0.2605012,-0.0745478
chess,train,seq-01,chess/seq-01/frame-000484.color.png,1.1768035,-0.8901005,0.1325777,0.9418971,-0.1213917,-0.3003043,-0.0889457
chess,train,seq-02,chess/seq-02/frame-000694.color.png,0.6423273,-0.7042449000000001,0.0898113,0.9209534,-0.1826039,-0.3442069,-0.0047156
chess,train,seq-02,chess/seq-02/frame-000532.color.png,0.9251552,-0.4283331,0.156222,0.9505535,-0.1936205,-0.2321343,-0.0712238
chess,train,seq-01,chess/seq-01/frame-000283.color.png,0.6117117,-0.8447200999999999,0.5235253,0.8314811,-0.3498751,-0.3605072,-0.2371942
chess,train,seq-04,chess/seq-04/frame-000814.color.png,0.9830076,-0.9451921999999998,0.7284659000000001,0.8315798000000001,-0.0896237,-0.5155138,-0.1862477
chess,train,seq-04,chess/seq-04/frame-000786.color.png,0.5107761,-0.9195594,0.6008996999999999,0.9190689,-0.1201403,-0.3376813,-0.1638594
chess,train,seq-01,chess/seq-01/frame-000778.color.png,-0.3690441,-0.7509932,1.2432967,0.9339073,-0.2156768,0.2815058,0.0453333
chess,train,seq-06,chess/seq-06/frame-000118.color.png,-0.1790934,-0.7673899000000001,0.3257289,0.9747685,-0.0689655,-0.2090477,-0.0370021
chess,train,seq-06,chess/seq-06/frame-000253.color.png,1.3842766000000002,-0.7617154,0.6183529999999999,0.8622668,-0.1123948,-0.4821538,-0.1067289
chess,train,seq-04,chess/seq-04/frame-000435.color.png,0.0848781,-0.8480025999999999,0.6410326,0.8479002,-0.2975638,-0.2451592,-0.3638928
chess,train,seq-01,chess/seq-01/frame-000476.color.png,1.1911148,-0.9200537,0.0351924,0.9476573,-0.1169297,-0.2746083,-0.1134169
chess,train,seq-04,chess/seq-04/frame-000057.color.png,-0.2045407,-0.7959444999999999,-0.4546918,0.9861626,-0.1421552999999999,-0.0073091,-0.0849812
chess,train,seq-01,chess/seq-01/frame-000812.color.png,-0.346963,-0.7111043,1.4234601999999998,0.9120021,-0.2481114,0.3261445,0.0179639
chess,train,seq-02,chess/seq-02/frame-000829.color.png,0.3996064,-0.5056970999999999,0.7914213999999999,0.8243502,-0.264562,-0.4319495,-0.2527317
chess,train,seq-04,chess/seq-04/frame-000207.color.png,1.3268446000000005,-0.8245065,0.7292449000000001,0.9393611,-0.1329245,-0.315953,-0.0102728
chess,train,seq-02,chess/seq-02/frame-000795.color.png,0.437805,-0.524361,0.7334814000000001,0.8636126000000001,-0.2909475,-0.3740547,-0.1720637
chess,train,seq-04,chess/seq-04/frame-000611.color.png,0.0193856,-0.7398413,-0.5194847,0.9851173,-0.1353353,-0.0948064,-0.0473287
chess,train,seq-06,chess/seq-06/frame-000895.color.png,1.153756,-0.694519,-0.3920555,0.9099945,-0.1681954,-0.3592946,0.1205313999999999
chess,train,seq-02,chess/seq-02/frame-000785.color.png,0.4737034000000001,-0.535506,0.7131105,0.8772457,-0.2885778,-0.3479459,-0.1615442
chess,train,seq-02,chess/seq-02/frame-000026.color.png,-0.5692245,-0.4533634,-0.0436506,0.9760916,-0.1969329,0.0829023,0.0398722
chess,train,seq-06,chess/seq-06/frame-000208.color.png,0.3821018,-0.7443196999999999,0.5574689,0.9302077,-0.1497569,-0.3207605999999999,-0.0969496
chess,train,seq-02,chess/seq-02/frame-000822.color.png,0.4018859,-0.5064172,0.7740369,0.8275851000000001,-0.2717158,-0.4248821,-0.2464725
chess,train,seq-01,chess/seq-01/frame-000987.color.png,-0.3602601,-0.6156066,0.4244772,0.9328743,-0.2692112,0.2293745,0.0682514999999999
chess,train,seq-06,chess/seq-06/frame-000843.color.png,0.6935087,-0.6107709,-0.8015485,0.9718266,-0.0973976,-0.2113092,-0.0376202
chess,train,seq-02,chess/seq-02/frame-000842.color.png,0.3970588,-0.5043397,0.8154584,0.8126831999999999,-0.2507163999999999,-0.453331,-0.2667925
chess,train,seq-02,chess/seq-02/frame-000677.color.png,0.6448309,-0.4724958,0.1270422,0.9384298,-0.2196106,-0.2592098,-0.0626966
chess,train,seq-04,chess/seq-04/frame-000607.color.png,0.020131,-0.736163,-0.475779,0.9858799,-0.1316396,-0.0983808,-0.0321428
chess,train,seq-02,chess/seq-02/frame-000609.color.png,1.0390546,-0.8704135000000001,0.2426207,0.986084,-0.0829547,-0.1407725,-0.0306599
chess,train,seq-02,chess/seq-02/frame-000950.color.png,0.6106169,-0.5701556999999999,0.6738493,0.9234488,-0.2200407,-0.2937886,-0.1118605
chess,train,seq-01,chess/seq-01/frame-000245.color.png,0.3814303,-0.8020936,0.4738424,0.8897867,-0.376575,-0.2058618,-0.1552152
chess,train,seq-04,chess/seq-04/frame-000830.color.png,1.2541881,-0.9346194,0.8152033000000001,0.7646568,-0.085034,-0.6127967,-0.1804146
chess,train,seq-01,chess/seq-01/frame-000757.color.png,-0.4251553,-0.7633463,1.1971809,0.9214338,-0.1984119,0.3332612,0.0230091
chess,train,seq-04,chess/seq-04/frame-000206.color.png,1.3224823,-0.8098631,0.7326063,0.9398459,-0.1396486,-0.3116308,-0.0086118
chess,train,seq-02,chess/seq-02/frame-000086.color.png,-0.5252583000000001,-0.591923,0.0121365,0.9754451,-0.2036867,0.0207097,0.0811771
chess,train,seq-06,chess/seq-06/frame-000061.color.png,-0.0547311,-0.7120465,-0.5659831999999999,0.9859233,-0.0828888,-0.1451155,-0.0051168
chess,train,seq-01,chess/seq-01/frame-000962.color.png,-0.4832962000000001,-0.6204926,0.5209424,0.9042053,-0.2562619,0.3222282,0.1136291
chess,train,seq-01,chess/seq-01/frame-000785.color.png,-0.3579243,-0.7462516,1.2835697,0.9308543,-0.2153557,0.2927446,0.0378529
chess,train,seq-06,chess/seq-06/frame-000621.color.png,0.3910617,-0.8823333000000001,0.3219298,0.9501117,-0.2987063,-0.0723661999999999,0.0531539
chess,train,seq-01,chess/seq-01/frame-000480.color.png,1.1795448,-0.9072831,0.087274,0.9461072,-0.118394,-0.284634,-0.0992342
chess,train,seq-04,chess/seq-04/frame-000245.color.png,1.3112872,-0.8684419,0.6864918999999999,0.8199844000000001,-0.1157581,-0.5339164000000001,-0.1707597
chess,train,seq-06,chess/seq-06/frame-000273.color.png,1.5086479,-0.5821506,0.7102717,0.8683219999999999,-0.0578148,-0.4808923,-0.1068497
chess,train,seq-06,chess/seq-06/frame-000276.color.png,1.4801395,-0.5551979,0.7574528,0.8689792,-0.0443257,-0.4805897,-0.1092883
chess,train,seq-02,chess/seq-02/frame-000085.color.png,-0.5264329000000001,-0.5831536999999999,0.0117157999999999,0.9748894,-0.2045082,0.0256973,0.0843013999999999
chess,train,seq-01,chess/seq-01/frame-000640.color.png,0.0537521999999999,-0.887525,0.6639917,0.9829473,-0.177331,0.0460601,-0.0157076
chess,train,seq-01,chess/seq-01/frame-000966.color.png,-0.4803849,-0.6239517,0.5066124,0.9107376,-0.2517214,0.3100034,0.1053151
chess,train,seq-04,chess/seq-04/frame-000007.color.png,-0.0071506,-0.5804195,-0.7096363,0.9936133,-0.1075392,-0.0279772,-0.0196259
chess,train,seq-04,chess/seq-04/frame-000299.color.png,0.5622438,-0.6471069,0.934629,0.9499382,-0.2595376,-0.1725165,0.0222646
chess,train,seq-01,chess/seq-01/frame-000162.color.png,0.0752768,-0.8057943000000001,0.3206151,0.9207934,-0.3851488,0.0219596,0.0575995
chess,train,seq-04,chess/seq-04/frame-000430.color.png,0.0728911999999999,-0.839089,0.6844848000000001,0.8783122999999999,-0.3042788,-0.2119878,-0.3017335
chess,train,seq-06,chess/seq-06/frame-000660.color.png,0.0613817,-0.8890045,0.3514926,0.9459692,-0.3088375,-0.0663493,0.0732088
chess,train,seq-06,chess/seq-06/frame-000414.color.png,0.8533573,-0.110422,1.3091776000000002,0.9004896000000001,-0.0556913,-0.4311242,-0.0121999
